step,V_train,C,K_est,acc_train,acc_test,sigma_mean,crisis
14000,1.0957875673511808e-07,18371.326171875,0.0020131070814893987,1.0,0.0,0.0,0.0
14100,1.096421158308658e-07,18410.751953125,0.00201859379817787,1.0,0.0,0.0,0.0
14200,1.1043410097499873e-07,18456.517578125,0.0020382289258694952,1.0,0.0,0.0,0.0
14300,1.1147952250212256e-07,18509.916015625,0.002063476598976266,1.0,0.0,0.0,0.0
14400,1.1287340839771787e-07,18572.619140625,0.0020963548252750375,1.0,0.0,0.0,0.0
14500,1.1537607491618473e-07,18646.3828125,0.0021513464602908594,1.0,0.0,0.0,0.0
14600,1.157562294906711e-07,18733.048828125,0.002168467099208385,1.0,0.0,0.0,0.0
14700,1.215852165614706e-07,18836.28125,0.002290213334994018,1.0,0.0,0.0,0.0
14800,1.2576688845911121e-07,18959.1171875,0.002384429176603531,1.0,0.0,0.0,0.0
14900,1.3102565787903586e-07,19104.1640625,0.002503135664518097,1.0,0.0,0.0,0.0
15000,1.3938900167431711e-07,19273.421875,0.002686503034004195,1.0,0.0,0.0,0.0
15100,1.4996987829363206e-07,19469.263671875,0.002919803103337726,1.0,0.0,0.0,0.0
15200,1.674885510283275e-07,19699.666015625,0.0032994685166990168,1.0,0.0,0.0,0.0
15300,1.9514459381753113e-07,19975.095703125,0.0038980319374526395,1.0,0.00017711654072627425,0.0,0.0
15400,0.22724197804927826,19427.935546875,4414.842503085762,0.9891044497489929,0.0008855827036313713,0.0,0.0
15500,0.0038117121439427137,19449.619140625,74.13634947338096,0.9997342824935913,0.000708466162905097,0.0,0.0
15600,0.001640682341530919,19455.44140625,31.920199161923847,1.0,0.0005313496221788228,0.0,0.0
15700,0.0011359764030203223,19458.35546875,22.104232654081443,1.0,0.0005313496221788228,0.0,0.0
15800,0.0008808035054244101,19460.078125,17.140505028332882,1.0,0.0005313496221788228,0.0,0.0
15900,0.0007213369244709611,19461.10546875,14.038013965633127,1.0,0.0005313496221788228,0.0,0.0
16000,0.0006107099470682442,19461.662109375,11.88543063667646,1.0,0.0005313496221788228,0.0,0.0
